epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,2962.13,0.3051,0.41041,0.35448,0.84839,0.81313,0.38334,0.44887,0.36571,0.81313,0.38334,0.43935,0.28844,1.01276,3.15136,3.31431,1.32849,0.000112323,0.000112323,0.000112323
86,2994.23,0.29918,0.50228,0.37975,0.8751,0.80246,0.37414,0.46115,0.37013,0.80246,0.37414,0.45071,0.3061,1.03044,3.17862,3.32928,1.33565,0.00010572,0.00010572,0.00010572
87,3025.63,0.278,0.48272,0.39827,0.83392,0.77797,0.4242,0.45019,0.34264,0.77797,0.4242,0.44045,0.29423,1.04976,3.19806,3.51863,1.33498,9.91162e-05,9.91162e-05,9.91162e-05
88,3057.57,0.28624,0.41489,0.33654,0.84649,0.77797,0.4242,0.45019,0.34264,0.77797,0.4242,0.44045,0.29423,1.04976,3.19806,3.51863,1.33498,9.25129e-05,9.25129e-05,9.25129e-05
89,3088.05,0.27082,0.42504,0.35557,0.85459,0.79119,0.36111,0.43088,0.32094,0.79119,0.36111,0.42109,0.27945,1.04566,3.16938,3.60334,1.34092,8.59096e-05,8.59096e-05,8.59096e-05
90,3120.35,0.29032,0.41873,0.3641,0.85269,0.79119,0.36111,0.43088,0.32094,0.79119,0.36111,0.42109,0.27945,1.04566,3.16938,3.60334,1.34092,7.93063e-05,7.93063e-05,7.93063e-05
91,3151.13,0.32062,0.82835,0.47007,0.89858,0.73282,0.42208,0.41372,0.3105,0.73282,0.42208,0.40792,0.26772,1.04364,3.21688,3.71215,1.34769,7.2703e-05,7.2703e-05,7.2703e-05
92,3181.85,0.26019,0.58408,0.45068,0.86648,0.79073,0.36111,0.42416,0.30772,0.79073,0.36111,0.40963,0.26355,1.10019,3.34174,3.56064,1.44298,6.60997e-05,6.60997e-05,6.60997e-05
93,3212.45,0.2671,0.59572,0.39305,0.86863,0.79073,0.36111,0.42416,0.30772,0.79073,0.36111,0.40963,0.26355,1.10019,3.34174,3.56064,1.44298,5.94964e-05,5.94964e-05,5.94964e-05
94,3243.88,0.29384,0.49208,0.43633,0.89931,0.80066,0.36111,0.40931,0.29396,0.80066,0.36111,0.39797,0.23691,1.21406,3.51055,3.38763,1.58319,5.28931e-05,5.28931e-05,5.28931e-05
95,3274.22,0.22263,0.35506,0.36757,0.81517,0.80203,0.36111,0.40305,0.28854,0.80203,0.36111,0.39432,0.23186,1.28552,3.59499,3.36874,1.60674,4.62898e-05,4.62898e-05,4.62898e-05
96,3304.77,0.25972,0.43859,0.67951,0.85688,0.80203,0.36111,0.40305,0.28854,0.80203,0.36111,0.39432,0.23186,1.28552,3.59499,3.36874,1.60674,3.96865e-05,3.96865e-05,3.96865e-05
97,3335.33,0.23274,0.39426,0.37089,0.81472,0.81682,0.36111,0.40019,0.28531,0.81682,0.36111,0.39145,0.22827,1.30296,3.65058,3.3127,1.60302,3.30832e-05,3.30832e-05,3.30832e-05
98,3365.89,0.27413,0.5508,0.33018,0.88082,0.81682,0.36111,0.40019,0.28531,0.81682,0.36111,0.39145,0.22827,1.30296,3.65058,3.3127,1.60302,2.64799e-05,2.64799e-05,2.64799e-05
99,3396.55,0.23241,0.33911,0.30838,0.82522,0.82616,0.35918,0.39422,0.28239,0.82616,0.35918,0.3872,0.22263,1.24073,3.71882,3.46492,1.53757,1.98766e-05,1.98766e-05,1.98766e-05
100,3426,0.24042,0.42115,0.35397,0.84087,0.82761,0.35968,0.39116,0.27827,0.82761,0.35968,0.38476,0.22006,1.23566,3.72357,3.46191,1.52687,1.32733e-05,1.32733e-05,1.32733e-05
